관광상품번호(NameID),관리번호,인허가일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,도로명전체주소,소재지전체주소,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,주메뉴,좌표정보(위도),좌표정보(경도),위생업태명,다중이용업소여부,음식점 분류,카테고리
4001329,5360000-101-2011-00044,2011-06-21,1,영업/정상,13,영업중,"경상남도 밀양시 활성로 290 (활성동,(1층))",경상남도 밀양시 활성동 325-2번지 (1층),물레수가든,2017-11-22,I,2018-08-31,한식,능이백숙+한방백숙+옻닭백숙+시레기 메기매운탕+오리불고기,35.4897709,128.80291,한식,N,일반음식점,한식
4001330,5360000-101-2016-00080,2016-09-30,1,영업/정상,13,영업중,"경상남도 밀양시 내이1길 13-1, 1층 (내이동)",경상남도 밀양시 내이동 1204-11번지,대독장 밀양점,2017-05-15,I,2018-08-31,한식,김치찌개정식+파채고추장두루치기,35.49636725,128.7450028,한식,N,일반음식점,한식
4001331,5360000-101-2009-00011,2009-03-02,1,영업/정상,13,영업중,경상남도 밀양시 백민로 83 (내이동),경상남도 밀양시 내이동 1564-12번지,밀양인삼돼지국밥,2018-02-23,I,2018-08-31,한식,돼지국밥+순대국밥+섞어국밥+돼지수육+이바이순대,35.49997547,128.7460172,한식,N,일반음식점,한식
4001332,5360000-101-2011-00056,2011-07-12,1,영업/정상,13,영업중,경상남도 밀양시 미리벌로 15 (삼문동),경상남도 밀양시 삼문동 570-1번지,맛나감자탕 밀양삼문점,2018-07-30,I,2018-08-31,탕류,맛나감자탕+해물뼈찜+맛나뼈찜+뼈해장국+낙지비빔밥,35.4821195,128.7513421,탕류,N,일반음식점,한식
4001333,5360000-101-2009-00006,2009-02-05,1,영업/정상,13,영업중,경상남도 밀양시 미리벌중앙로5길 22 1동,경상남도 밀양시 삼문동 736-9,투다리 삼문점,2017-11-24,I,2018-08-31,호프(소주방)+통닭(치킨),닭산적,35.48299646,128.7465597,호프(소주방)+통닭(치킨),N,일반음식점,술집
4001334,5360000-101-2009-00004,2009-01-12,1,영업/정상,13,영업중,경상남도 밀양시 시청서1길 5-5 (내이동),경상남도 밀양시 내이동 1538-7번지,황금막창,2017-05-18,I,2018-08-31,한식,막창,35.50274084,128.744408,한식,N,일반음식점,고깃집(정육점)
4001335,5360000-101-2009-00002,2009-01-07,1,영업/정상,13,영업중,"경상남도 밀양시 미리벌로 26, 1층 (삼문동, 대림아트빌)",경상남도 밀양시 삼문동 584-3 대림아트빌,쏘자토스트,2021-08-12,U,2021-08-14,한식,쏘자 토스트+에그 햄 치즈 토스트+쓰리콤보 토스트+베이컨 토스트+두톰 소갈비 토스트,35.48193662,128.7499714,한식,N,일반음식점,포장(도시락)
4001336,5360000-101-2008-00075,2008-12-29,1,영업/정상,13,영업중,"경상남도 밀양시 중앙로 298, 3층 (삼문동)",경상남도 밀양시 삼문동 271,일일치킨 밀양점,2021-05-11,U,2021-05-13,한식,크리스피치킨+순살트리플+크리스피순살+치즈볼세트+양념치킨,35.48940077,128.7541775,한식,N,일반음식점,치킨
4001337,5360000-101-2008-00047,2008-08-06,1,영업/정상,13,영업중,경상남도 밀양시 미리벌중앙로5길 21 (삼문동),경상남도 밀양시 삼문동 737-2번지,황씨아저씨,2008-08-06,I,2018-08-31,한식,뼈다귀해장국+감자탕+뼈다귀전골+등뼈찜,35.48287804,128.7467474,한식,N,일반음식점,한식
4001338,5360000-101-2008-00046,2008-07-31,1,영업/정상,13,영업중,경상남도 밀양시 백민로4길 5 (내이동),경상남도 밀양시 내이동 816-2번지,장수왕족발,2013-12-27,I,2018-08-31,한식,족발+양념족발+아구찜,35.49437173,128.748299,한식,N,일반음식점,한식
